fpc_number,eigen_value,var_pc,var_pc_cum
1,5182.35119174324,36.5702089949405,36.5702089949405
2,3224.0022300391,22.7507613803811,59.3209703753216
3,2114.51695828822,14.921475644327,74.2424460196486
4,740.35928597168,5.22448070722542,79.466926726874
5,624.56640137026,4.40736703944705,83.874293766321
6,418.11395393325,2.95049758561353,86.8247913519346
7,378.32360084098,2.66970968168198,89.4945010336165
8,312.265506323569,2.20355865622501,91.6980596898416
9,231.597959367331,1.63431335768196,93.3323730475235
10,177.451681958052,1.25222024822419,94.5845932957477
11,138.626968709361,0.978246558456621,95.5628398542043
12,112.815290656598,0.796101731528724,96.3589415857331
13,81.6009522415235,0.575832043650993,96.9347736293841
14,68.3090671343112,0.482035425412934,97.416809054797
15,60.3405159549936,0.425803886632078,97.8426129414291
16,43.2890941019452,0.305477409757956,98.148090351187
17,38.8658030788215,0.274263647668887,98.4223539988559
18,26.4955112344821,0.186970420842295,98.6093244196982
19,24.8897828341991,0.175639304710872,98.7849637244091
20,20.5188703668737,0.144795161480411,98.9297588858895
21,18.7261817488465,0.132144726378954,99.0619036122684
22,14.7158881851901,0.103845356396534,99.165748968665
23,14.2575918500049,0.100611304488581,99.2663602731536
24,13.4815095577461,0.0951347378540396,99.3614950110076
25,10.1287348477179,0.0714752699171634,99.4329702809248
26,8.61151089531242,0.0607687016089404,99.4937389825337
27,7.87283878131422,0.0555561267393161,99.549295109273
